,Variables,Labels ,Indicators,Variable Type,Codes
,campaign_finance,Who financed your election expenditure?,,"Binary, Qualitative",Husband=H; In-laws=I; Friends=F; Party workers=P; NGO members=N; Others=99
,winning_factor_elect,What factor do you think helped the most in your winning the election?,,Binary,Your competence=Y; Family influence=F; Support from women=W; Support from chairman=C; Party support=P; Others=99;
,previous_elect_exp,"If you are not a first time candidate, how did your previous experience help you?",,Qualitative,
,responsibilites_elect,"Since becoming elected members of the municipal council, what responsibilities have you performed?",,Qualitative,
,express_freely_meet,Can you express your opinion freely in the meeting?,,Qualitative,Yes=1; No=0;
,influence_decision_making,Do you feel you influence the decision making process of the institution?,,Binary,Yes=1; No=0;
,ext_decision_making,"If yes, to what extent can you influence the decisions?",,Binary,Greater influence=100; Moderate influence=50; Not at all=-99;
,examp_decision_making,Give an example of how you have influenced decisions.,,Qualitative,
,resp_chairman,Does the chairman value and respect your opinion?,,Integer,"Yes, almost all the time=100; Often times=80; Occaisionally=60; Not at all=-99;"
,resp_male,Do the male members value and respect your opinion?,,Integer,"Yes, almost all the time=100; Often times=80; Occaisionally=60; Not at all=-99;"
,resp_female,How do the other women members value and respect your opinion?,,Integer,"Yes, almost all the time=100; Often times=80; Occaisionally=60; Not at all=-99;"
,women_consesus,Do the women members usually share consensus on important issues?,,Integer,"Yes, almost all the time=100; Often times=80; Occaisionally=60; Not at all=-99;"
,women_disagreement_cause,"If not, what are the causes of their disagreement?",,Qualitative,
,male_wom_support,Do the male members support the women members often and easily?,,Integer,"Yes, almost all the time=100; Often times=80; Occaisionally=60; Not at all=-99;"
,offense_male,Do you feel embarrassed by any offensive/aggressive/personal comments by other male councilors?,,Integer,"Yes, almost all the time=100; Often times=80; Occaisionally=60; Not at all=-99;"
,attend_special_meetings,Do you attend the special meetings?,,Binary,Yes=1; No=0;
,disagreement_consider,"If yes, to what extent is your disagreement seriously considered?",,Binary,Considered always=100; Considered=50; Consider never=-99;
,women_dev_role,What kind of role do you play regarding women and development through your work?,,Qualitative,
,election_promises,Have you been able to fulfill your election promises to the voter?,,Binary,Yes=1; No=0;
,benefits_women,What benefits have you achieved for women by your role and performance?,,Binary,
,suggest_equal_part,"To ensure equal participation of women members in the local government institutions, what do you suggest?",,Qualitative,
,suggest_promote_wom,To promote women’s involvement in local/national politics what do you suggest?,,Qualitative,
,suggest_improve_family,To improve women’s position in the family?,,Qualitative,
,suggest_improve_society,"To improve role and participation in society, what do you suggest?",,Qualitative,
,projects_women,What type of projects do you take to make life better for the local women population?,,Qualitative,Housing=H; Health facilities=HF; Job opportunity=J; Transport=T; Services; Recration=R; Environment=E; Public toilet=PT; Public safety=PS; Education=E;
,effect_coop_male,What type of corporation do you expect from the male colleague to participate in the activities effectively?,,Integer,Expect reasonable behavior and constructive comments=100; Opportunity to speak in different forums=80; Good advice=60; Ensure in all meetings=50; Others=99;
,comment_wom_part_dm,Comment on women’s participation in the decision making level according to your own experience,,,
,commitees_member,How many committees are you a member of?,,Qualitative,
,chairing_committees,"Are you chairing any committee? If yes, name them.",,Integer,Yes=1; No=0;
,percent_meetings,How many meetings are you attending?,,Binary,50%=50; 75%=75; 100%=100;
,raise_questions,Do you raise questions?,,Integer,Yes=1; No=0;
,equal_imp_male,Do you think you are given equal importance as compared to your male colleagues both from municipal council and your party?,,Binary,Yes=1; No=0;
,male_prejudice,Do you think male councilors as a group are prejudiced against women councilors?,,Binary,Yes=1; No=0;
,women_cut_lines,Do you think women councilors should cut across party lines to work together on gender issues?,,Binary,Yes=1; No=0;
,opinion_familiy_position,"Do you think your position in the family has improved or became prominent, after being elected as councilor?",,Binary,Yes=1; No=0;
,voice_fam_decision,Do you think you have more voice in decision making in the family?,,Binary,Yes=1; No=0;
,perceived_changes_elect,What are some of the perceived improvements and attitudinal changes after you being elected?,,Binary,Change in children education=CH; Contesting elections agian and from a higher level=EH; Perceptional change in status with family and community=P; No change=-99; Can't say=0;
,,,,,
,problems_knowledge,"Was there an initial problem, faced by you, in terms of knowledge of rules and procedures?",,Binary,Yes=1; No=0;
,provided_rules_council,Were you provided with the copy of rules and procedures of the municipal council?,,"Binary, Qualitative",Yes=1; No=0;
,training_gender_eq_integ,Is there any training of councilors in institutionalizing or for integration of gender equality into the management of the council?,Capacity Building,Binary,Yes=1; No;
,need_training,Did you feel the need for training or orientation?,,Binary,Yes=1; No=0;
,organize_training_council,Did the municipal councilor organize any training sessions or capacity building sessions for first time councilors?,,Binary,Yes=1; No=0;
,organize_training_party,Did any of the political parties organize any training session?,,Binary,Yes=1; No=0;
,,,,,
,criticism_dm_family,What are some criticisms faced by you as a decision maker from your family?,Critical Experiences,Qualitative,
,criticism_dm_society,What are some criticisms faced by you as a decision maker from society?,,Qualitative,
,criticism_dm_colleague,What are some criticisms faced by you as a decision maker from colleagues?,,Qualitative,
,,,,,
,waste_bins,Do you have waste bins in your office room?,Workplace Experiences,Qualitative,Yes=1; No=0;
,office_cleaning,Do you think your office rooms are clean enough?,,Binary,Yes=1; No=0;
,office_smoking,Is smoking allowed inside your office room?,,Binary,Yes=1; No=0;
,toilet_cleaning,Do you think your toilet is clean enough?,,Binary,Yes=1; No=0;
,suit_environment,Does your work environment suit you?,,Binary,Yes=1; No=0;
,safety_work,Is there any lack of safety at the workplace?,,Binary,Yes=1; No=0;
,,,,,
,contact_male_fam_work,Do you feel free to contact your male councilors/family members in discussing any problem in the workplace/home?,Gender Dynamics,Binary,Yes=1; No=0;
,comfort_work_male,Are you comfortable working with your male colleagues?,,Binary,Yes=1; No=0;
,male_jealousy,Do you feel your male colleagues are being jealous of you?,,Binary,Yes=1; No=0;
,male_ignore_decision,Do you think your male colleagues are trying to ignore your decision and try to put their own decision on you?,,Binary,Yes=1; No=0;
,,,,,
,initial_problems,"Was there any initial problem, faced by you, in terms of rules and procedures?",Challenges in Power Execution,Binary,Yes=1; No=0;
,women_problems_duties,What are the problems faced by women councilors in charge of their duties?,,Qualitative,
,main_hurdle_meetings,What are the main hurdles in attending the meeting of the municipal councils?,,Qualitative,Busy in domestic work=DW; Do not bother about meetings=DN; Dominating/bias attitude of male=MA; Work done by their male members=MW; Dual responsibility at home and council=DR; Illiteracy=I; None of these=-99;
,main_prob_dev,What are the main problems you are facing for the development of your area?,,Qualitative,Lack of public cooperation=PC; Lack of urban leaders=UL; Lack of municipal council officials cooperation=MC; More political interference=PI;
,,,,,
,fam_resist_elect,Did you face any family resistance while taking part in elections?,Challenges from Family,Binary,Yes=1; No=1;
,type_resist,"If yes, what type of resistance did you face and from whom?",,Binary,
,prob_elect,Did you face any problems in contesting the election?,,Binary,Yes=1; No=1;
,type_prob,"If yes, what type of probems did you face?",,Binary,
,help_prob_overcome,Who helped you to overcome these problems?,,Qualitative,
,,,,,
,male_support_campaigns,What general level of support did you get from males during your election campaign?,Support in Fieldwork,Integer,Very good = 100; Good=80; Moderate=50; Poor=10;
,female_support_campaigns,What general level of support did you get from females during your election campaign?,,Integer,Very good = 100; Good=80; Moderate=50; Poor=10;
,lack_exp_prob,"If you are, or when you were, a first time candidate, do you think lack of experience created any problem?",,Binary,Yes=1; No=0;
,,,,,
,gender_analysis_budget,Is staff training in gender equality issues and gender analysis systematically budgeted for in the council?,Resource Alllocation,,To the fullest extent=100; To a great extent=80; To a moderate extent=50; To a limited extent=30; Not at all=-99;
,council_gender_integ,Has the council budgeted adequate financial resources to support its gender integration work?,,,To the fullest extent=100; To a great extent=80; To a moderate extent=50; To a limited extent=30; Not at all=-99;
,gender_policy_finance,Are financial resources from the council's core budget allocated for the enforcement of the gender policy at all levels?,,,To the fullest extent=100; To a great extent=80; To a moderate extent=50; To a limited extent=30; Not at all=-99;
,frac_budget_wom_serv,"What fraction of the budget is on essential services for women? (E.g reproductive health, maternity centers etc.)",,,
,,,,,
,opinion_councillor_gender,What is your opinion of the following statement: “The councilors in the council are enthusiastic about the gender work they do”,Scope for Growth,Integer,Strongly Agree=2; Agree=1; No opinion=0; Disagree=-1; Strongly disagree=-2;
,opinion_examp_gender_eq,Do you know/follow any good practices in your council to pursue the goal of gender equality? Elaborate.,,Integer,Strongly Agree=2; Agree=1; No opinion=0; Disagree=-1; Strongly disagree=-2;
,council_act_gender_eq,Are there any council activities centered around gender equality and empowerment?,,Binary,Yes=1; No=0;
,policy_council_gender_eq,What policies or actions do you think can make your council more gender equal?,,Qualitative,
,opinion_gender_analysis,What is your opinion of the following statement: “The council could do much more than it is currently doing to institutionalize gender analysis.”,,Integer,Strongly Agree=2; Agree=1; No opinion=0; Disagree=-1; Strongly disagree=-2;
,opinion_ideal_council,"In the council, what are three most important characteristics of an ideal council according to you?",,Qualitative,
,female_rep_manage,What do you think management of the council is committed to promoting not just female representation but also female participation?,,Binary,Strongly Agree=2; Agree=1; No opinion=0; Disagree=-1; Strongly disagree=-2;
,suggest_patriarchy,"To tackle social problems like fundamentalism or patriarchy, what do you suggest?",,Qualitative,
,suggest_strength_council,What are your suggestions to strengthen municipal councils?,,Qualitative,
,suggest_improve_part,Which of these measures do you suggest for improving the active political participation of women in municipal councils?,,Qualitative,Spreading political education amongst women=PE; Reservation in municipal councils=MC; Awareness about their rights=AR; Training campus and orientation programmes=CP;
,,,,,
,council_1,Kishangarh,,,K
,council_2,Bhilwara,,,Bh
,council_3,Nagaur,,,N
,council_4,Tonk,,,T
,council_5,Makrana,,,M
,council_6,Beawar,,,Be
